2e Vlotbrug;3218–3225;Nissewaard;Zuid-Holland;
's-Graveland;1243–1243;Wijdemeren;Noord-Holland;
's Gravenmoer;5109–5109;Dongen;Noord-Brabant;
't Bergje;7701–7701;Hardenberg;Overijssel;
't Buurtje;1751–1751;Schagen;Noord-Holland;
't Coll;5641–5641;Eindhoven;Noord-Brabant;
't Eind;5076–5076;Haaren;Noord-Brabant;
't Goy;3997–3997;Houten;Utrecht;
't Haantje;7847–7847;Coevorden;Drenthe;
't Haantje;7775–7775;Hardenberg;Overijssel;
't Haantje;9057–9057;Leeuwarderadeel;Fryslân;
't Haantje;2288–2288;Rijswijk;Zuid-Holland;
't Haantje;4756–4756;Steenbergen;Noord-Brabant;
't Harde;8084–8084;Elburg;Gelderland;
't Hazeleger;6874–6874;Renkum;Gelderland;
't Heechhout;8842–8842;Littenseradiel;Fryslân;
't Heeske;5993–5993;Peel en Maas;Limburg;
't Herselt;5826–5826;Boxmeer;Noord-Brabant;
't Hoekje;4566–4566;Hulst;Zeeland;
't Hoekske;5056–5056;Tilburg;Noord-Brabant;
't Hof;5737–5737;Laarbeek;Noord-Brabant;
't Jagertje;4561–4561;Hulst;Zeeland;
't Kip;7157–7157;Berkelland;Gelderland;
't Kret;9356–9356;Leek;Groningen;
't Laar;8166–8166;Epe;Gelderland;
't Lage van de Weg/weg;9981–9981;Eemsmond;Groningen;
't Leuken;5854–5854;Bergen;Limburg;
't Loo;7597–7597;Dinkelland;Overijssel;
't Loo;8095–8095;Oldebroek;Gelderland;
't Marktje;4634–4634;Woensdrecht;Noord-Brabant;
't Noorden;7912–7912;Hoogeveen;Drenthe;
't Oever;3882–3882;Putten;Gelderland;
't Rolder;7136–7136;Oost Gelre;Gelderland;
't Rooth;6269–6269;Eijsden-Margraten;Limburg;
't Schoor;9141–9145;Dongeradeel;Fryslân;
't Stort;9965–9965;De Marne;Groningen;
't Veld;1735–1735;Hollands Kroon;Noord-Holland;
't Villeken;7122–7122;Aalten;Gelderland;
't Vlaandertje;4451–4451;Borsele;Zeeland;
't Waar;9940–9942;Oldambt;Groningen;
't Winkel;5074–5074;Haaren;Noord-Brabant;
't Woud;3862–3862;Nijkerk;Gelderland;
't Woudt;2636–2636;Midden-Delfland;Zuid-Holland;
't Wytfean;9261–9261;Tytsjerksteradiel;Fryslân;
't Zand;5131–5131;Alphen-Chaam;Noord-Brabant;
't Zand;5831–5831;Boxmeer;Noord-Brabant;
't Zand;8051–8051;Hattem;Gelderland;
't Zand;6663–6663;Nijmegen;Gelderland;
't Zand;4254–4254;Werkendam;Noord-Brabant;
't Zand;1756–1756;Schagen;Noord-Holland;
't Zandstervoorwerk;9987–9987;Loppersum;Groningen;
't Zandt;9915–9915;Loppersum;Groningen;
;;;;
Aadorp;7611–7611;Almelo;Overijssel;
Aagtekerke;4363–4363;Veere;Zeeland;
Aalbeek;6336–6336;Nuth;Limburg;
Aalden;7854–7854;Coevorden;Drenthe;
Aaldonk;6595–6595;Gennep;Limburg;
Aalsmeer;1430–1432;Aalsmeer;Noord-Holland;
Aalsmeerderbrug;1436–1436;Haarlemmermeer;Noord-Holland;
Aalst;4033–4033;Buren;Gelderland;
Aalst;5582–5583;Waalre;Noord-Brabant;
Aalst;5308–5308;Zaltbommel;Gelderland;
Aalsum;9120–9121;Dongeradeel;Fryslân;
Aalsum;9883–9883;Zuidhorn;Groningen;
Aalten;7120–7123;Aalten;Gelderland;
Aam;6662–6662;Overbetuwe;Gelderland;
Aan de Berg;6105–6105;Echt-Susteren;Limburg;
Aan de Berg;6065–6065;Roerdalen;Limburg;
Aan de Bergen;6093–6093;Leudal;Limburg;
Aan de Maas / Geulle aan de Maas;6243–6243;Meerssen;Limburg;
Aan de Popelaar;6104–6104;Echt-Susteren;Limburg;
Aan de Rijksweg;6049–6049;Roermond;Limburg;
Aan de School;6104–6104;Echt-Susteren;Limburg;
Aan Reijans;6104–6104;Echt-Susteren;Limburg;
Aanschot;5629–5629;Eindhoven;Noord-Brabant;
Aardenburg;4527–4527;Sluis;Zeeland;
Aarlanderveen;2445–2445;Alphen aan den Rijn;Zuid-Holland;
Aarle;5684–5684;Best;Noord-Brabant;
Aarle-Rixtel;5735–5735;Laarbeek;Noord-Brabant;
Aartswoud;1719–1719;Opmeer;Noord-Holland;
Aasterberg;6101–6101;Echt-Susteren;Limburg;
Abbegaasterketting;8617–8617;Súdwest-Fryslân;Fryslân;
Abbegea;8617–8617;Súdwest-Fryslân;Fryslân;
Abbekerk;1657–1657;Medemblik;Noord-Holland;
Abbekinderen;4482–4482;Goes;Zeeland;
Abbenbroek;3216–3216;Nissewaard;Zuid-Holland;
Abbenes;2157–2157;Haarlemmermeer;Noord-Holland;
Abbenwier;9011–9011;Leeuwarden;Fryslân;
Abbestede;1759–1759;Schagen;Noord-Holland;
Abbeweer;9954–9954;Winsum;Groningen;
Abcoude;1390–1391;De Ronde Venen;Utrecht;
Abcoven;5051–5051;Goirle;Noord-Brabant;
Absdale;4561–4561;Hulst;Zeeland;
