2e Vlotbrug;3218?225;Nissewaard;Zuid-Holland
's-Graveland;1243?243;Wijdemeren;Noord-Holland
's Gravenmoer;5109?109;Dongen;Noord-Brabant
't Bergje;7701?701;Hardenberg;Overijssel
't Buurtje;1751?751;Schagen;Noord-Holland
't Coll;5641?641;Eindhoven;Noord-Brabant
't Eind;5076?076;Haaren;Noord-Brabant
't Goy;3997?997;Houten;Utrecht
't Haantje;7847?847;Coevorden;Drenthe
't Haantje;7775?775;Hardenberg;Overijssel
't Haantje;9057?057;Leeuwarderadeel;Frysl?
't Haantje;2288?288;Rijswijk;Zuid-Holland
't Haantje;4756?756;Steenbergen;Noord-Brabant
't Harde;8084?084;Elburg;Gelderland
't Hazeleger;6874?874;Renkum;Gelderland
't Heechhout;8842?842;Littenseradiel;Frysl?
't Heeske;5993?993;Peel en Maas;Limburg
't Herselt;5826?826;Boxmeer;Noord-Brabant
't Hoekje;4566?566;Hulst;Zeeland
't Hoekske;5056?056;Tilburg;Noord-Brabant
't Hof;5737?737;Laarbeek;Noord-Brabant
't Jagertje;4561?561;Hulst;Zeeland
't Kip;7157?157;Berkelland;Gelderland
't Kret;9356?356;Leek;Groningen
't Laar;8166?166;Epe;Gelderland
't Lage van de Weg/weg;9981?981;Eemsmond;Groningen
't Leuken;5854?854;Bergen;Limburg
't Loo;7597?597;Dinkelland;Overijssel
't Loo;8095?095;Oldebroek;Gelderland
't Marktje;4634?634;Woensdrecht;Noord-Brabant
't Noorden;7912?912;Hoogeveen;Drenthe
't Oever;3882?882;Putten;Gelderland
't Rolder;7136?136;Oost Gelre;Gelderland
't Rooth;6269?269;Eijsden-Margraten;Limburg
't Schoor;9141?145;Dongeradeel;Frysl?
't Stort;9965?965;De Marne;Groningen
't Veld;1735?735;Hollands Kroon;Noord-Holland
't Villeken;7122?122;Aalten;Gelderland
't Vlaandertje;4451?451;Borsele;Zeeland
't Waar;9940?942;Oldambt;Groningen
't Winkel;5074?074;Haaren;Noord-Brabant
't Woud;3862?862;Nijkerk;Gelderland
't Woudt;2636?636;Midden-Delfland;Zuid-Holland
't Wytfean;9261?261;Tytsjerksteradiel;Frysl?
't Zand;5131?131;Alphen-Chaam;Noord-Brabant
't Zand;5831?831;Boxmeer;Noord-Brabant
't Zand;8051?051;Hattem;Gelderland
't Zand;6663?663;Nijmegen;Gelderland
't Zand;4254?254;Werkendam;Noord-Brabant
't Zand;1756?756;Schagen;Noord-Holland
't Zandstervoorwerk;9987?987;Loppersum;Groningen
't Zandt;9915?915;Loppersum;Groningen
;;;
Aadorp;7611?611;Almelo;Overijssel
Aagtekerke;4363?363;Veere;Zeeland
Aalbeek;6336?336;Nuth;Limburg
Aalden;7854?854;Coevorden;Drenthe
Aaldonk;6595?595;Gennep;Limburg
Aalsmeer;1430?432;Aalsmeer;Noord-Holland
Aalsmeerderbrug;1436?436;Haarlemmermeer;Noord-Holland
Aalst;4033?033;Buren;Gelderland
Aalst;5582?583;Waalre;Noord-Brabant
Aalst;5308?308;Zaltbommel;Gelderland
Aalsum;9120?121;Dongeradeel;Frysl?
Aalsum;9883?883;Zuidhorn;Groningen
Aalten;7120?123;Aalten;Gelderland
Aam;6662?662;Overbetuwe;Gelderland
Aan de Berg;6105?105;Echt-Susteren;Limburg
Aan de Berg;6065?065;Roerdalen;Limburg
Aan de Bergen;6093?093;Leudal;Limburg
Aan de Maas / Geulle aan de Maas;6243?243;Meerssen;Limburg
Aan de Popelaar;6104?104;Echt-Susteren;Limburg
Aan de Rijksweg;6049?049;Roermond;Limburg
Aan de School;6104?104;Echt-Susteren;Limburg
Aan Reijans;6104?104;Echt-Susteren;Limburg
Aanschot;5629?629;Eindhoven;Noord-Brabant
Aardenburg;4527?527;Sluis;Zeeland
Aarlanderveen;2445?445;Alphen aan den Rijn;Zuid-Holland
Aarle;5684?684;Best;Noord-Brabant
Aarle-Rixtel;5735?735;Laarbeek;Noord-Brabant
Aartswoud;1719?719;Opmeer;Noord-Holland
Aasterberg;6101?101;Echt-Susteren;Limburg
Abbegaasterketting;8617?617;S?west-Frysl?;Frysl?
Abbegea;8617?617;S?west-Frysl?;Frysl?
Abbekerk;1657?657;Medemblik;Noord-Holland
Abbekinderen;4482?482;Goes;Zeeland
Abbenbroek;3216?216;Nissewaard;Zuid-Holland
Abbenes;2157?157;Haarlemmermeer;Noord-Holland
Abbenwier;9011?011;Leeuwarden;Frysl?
Abbestede;1759?759;Schagen;Noord-Holland
Abbeweer;9954?954;Winsum;Groningen
Abcoude;1390?391;De Ronde Venen;Utrecht
Abcoven;5051?051;Goirle;Noord-Brabant
Absdale;4561?561;Hulst;Zeeland
Abshoven;6151?151;Sittard-Geleen;Limburg
Abtswoude;2626?626;Delft;Zuid-Holland
Achlum;8806?806;Franekeradeel;Frysl?
